Date,Price
2015-01-01,29.963043929063975
2015-02-01,30.661939027993203
2015-03-01,30.104682819328378
2015-04-01,30.72738174447392
2015-05-01,31.24497151993791
2015-06-01,32.473313950921934
2015-07-01,32.39987023091852
2015-08-01,31.925679571998277
2015-09-01,32.57291857311415
2015-10-01,32.52536647802937
2015-11-01,32.145677649403154
2015-12-01,32.427431251181304
2016-01-01,32.50125700398768
2016-02-01,33.14316187238668
2016-03-01,33.45092333106683
2016-04-01,32.68828843275245
2016-05-01,34.29912680349901
2016-06-01,34.00120893698068
2016-07-01,34.125176126276074
2016-08-01,34.281672393093444
2016-09-01,35.541940778766765
2016-10-01,34.89537160131544
2016-11-01,35.20508636152826
2016-12-01,36.02425431139155
2017-01-01,35.99961344152279
2017-02-01,36.82742977834826
2017-03-01,36.86820366230175
2017-04-01,37.30769653357868
2017-05-01,38.4296157632837
2017-06-01,38.20243538501269
2017-07-01,38.223545407016644
2017-08-01,38.53175207112109
2017-09-01,39.8433237445122
2017-10-01,39.77196319826053
2017-11-01,41.35631870992813
2017-12-01,41.622172408546525
2018-01-01,41.80737863003874
2018-02-01,42.13514473805566
2018-03-01,43.0375029372372
2018-04-01,43.994376556037636
2018-05-01,44.69519077161922
2018-06-01,43.88421754260288
2018-07-01,46.41882158949303
2018-08-01,45.243107232877435
2018-09-01,45.369883119889046
2018-10-01,47.6865440128542
2018-11-01,47.93402661631316
2018-12-01,48.20300914214063
2019-01-01,47.53175583038983
2019-02-01,49.17356509778455
2019-03-01,48.75929796782767
2019-04-01,48.24077818602158
2019-05-01,49.12935100904689
2019-06-01,49.06042616864191
2019-07-01,50.977467830526614
2019-08-01,51.510389595945796
2019-09-01,50.18498283915661
2019-10-01,51.1296509296249
2019-11-01,51.815470159972854
2019-12-01,50.882431655112136
2020-01-01,52.71817642498899
2020-02-01,51.43551747460097
2020-03-01,51.329277997317
2020-04-01,51.94754802725312
2020-05-01,52.525727359901914
2020-06-01,52.362160437748265
2020-07-01,54.27154743739042
2020-08-01,53.599237183865185
2020-09-01,52.77704117266397
2020-10-01,54.624924999173814
2020-11-01,53.6266310053024
2020-12-01,56.63852639628501
2021-01-01,54.99064387021888
2021-02-01,56.35554751990742
2021-03-01,57.71482919524397
2021-04-01,57.77856354237854
2021-05-01,58.553712878898956
2021-06-01,60.63634133573648
2021-07-01,60.10055845204934
2021-08-01,63.46833963031096
2021-09-01,62.50164166662325
2021-10-01,63.633369700964195
2021-11-01,65.72747389794091
2021-12-01,64.93721117171972
2022-01-01,67.98366797651023
2022-02-01,68.34923602763908
2022-03-01,70.30981988421414
2022-04-01,70.84538277236678
2022-05-01,72.69852406896072
2022-06-01,71.88143028504875
2022-07-01,74.32826567764363
2022-08-01,74.38026623388951
2022-09-01,74.66362628995986
2022-10-01,76.11926622017054
2022-11-01,75.8784260685346
2022-12-01,76.74949520444484
2023-01-01,77.46794460297383
2023-02-01,78.8225082609977
2023-03-01,79.15377370018943
2023-04-01,77.7356782748244
2023-05-01,81.91930160333672
2023-06-01,82.80319382739398
2023-07-01,80.96086526434577
2023-08-01,83.03777926430712
2023-09-01,83.31414401523675
2023-10-01,82.85210404200379
2023-11-01,83.64300335142303
2023-12-01,85.55144435999915
2024-01-01,83.29519123470834
2024-02-01,86.45475399792612
2024-03-01,87.51514846365625
2024-04-01,86.08859479804417
2024-05-01,88.9765796537475
2024-06-01,88.84961774643013
2024-07-01,89.78740800143831
2024-08-01,89.07870103356049
2024-09-01,88.6242402218097
2024-10-01,89.93115823447958
2024-11-01,88.3838855346027
2024-12-01,90.53184556704547
2025-01-01,92.7519569570236
2025-02-01,91.5402394932591
2025-03-01,93.43423471764666
2025-04-01,95.79324937760035
2025-05-01,93.2717933033969
2025-06-01,94.68175665949511
2025-07-01,92.85839448496654
2025-08-01,96.09768440396132
2025-09-01,96.38912778979665
2025-10-01,94.75544782417968
2025-11-01,94.58601628231915
2025-12-01,95.36577864891562
